siRNA,mRNA,efficacy
HIV1508,AF324493_8,68
HIV1509,AF324493_8,10.1
HIV1510,AF324493_8,27.4
HIV1511,AF324493_8,21.9
HIV1512,AF324493_8,12
HIV1513,AF324493_8,0
HIV1514,AF324493_9,64.4
HIV1515,AF324493_9,97.5
HIV1516,AF324493_9,89.9
HIV1517,AF324493_1,71.1
HIV1518,AF324493_1,52.2
HIV1524,AF324493_1,0
HIV1547,AF324493_1,92
HIV1550,AF324493_1,15
HIV1552,AF324493_1,87
HIV1553,AF324493_1,21
HIV1557,AF324493_7,18
HIV1558,AF324493_7,0
HIV1566,AF324493_6,95
HIV1567,AF324493_6,95
HIV1568,AF324493_6,93
HIV1569,AF324493_9,15
HIV1570,AF324493_2,85
HIV1608,AF324493_9,95
HIV1609,AF324493_6,88
HIV1611,AF324493_1,0
HIV1612,AF324493_1,0
HIV1613,AF324493_1,0
HIV1629,AF324493_2,91
HIV1630,AF324493_3,89
HIV1631,AF324493_3,82
HIV1632,AF324493_3,91
HIV1633,AF324493_3,91
HIV1634,AF324493_3,91
HIV1635,AF324493_3,92
HIV1638,AF324493_3,81
HIV1639,AF324493_4,82
HIV1640,AF324493_4,87
HIV1641,AF324493_4,85
HIV1642,AF324493_4,87
HIV1643,AF324493_4,81
HIV1645,AF324493_4,85
HIV1646,AF324493_4,82
HIV1647,AF324493_4,92
HIV1648,AF324493_4,89
HIV1649,AF324493_4,94
HIV1650,AF324493_5,86
HIV1651,AF324493_5,83
HIV1652,AF324493_5,80
HIV1653,AF324493_5,90
HIV1654,AF324493_6,81
HIV1655,AF324493_6,76
HIV1656,AF324493_6,87
HIV1657,AF324493_8,85
HIV1662,AF324493_1,80
HIV1664,AF324493_9,92
HIV1003,EU541617_2,76
HIV1013,EU541617_2,75
HIV1014,EU541617_1,89
HIV1275,EU541617_1,95.5
HIV1276,EU541617_1,92.5
HIV1277,EU541617_1,100
HIV1278,EU541617_1,67.2
HIV1071,K02013_6,90
HIV1114,K02013_1,83
HIV1118,K02013_1,52
HIV1127,K02013_2,26
HIV1128,K02013_2,30
HIV1129,K02013_2,45
HIV1130,K02013_2,64
HIV1131,K02013_2,85
HIV1132,K02013_2,74
HIV1134,K02013_2,75
HIV1136,K02013_2,86
HIV1137,K02013_2,63
HIV1138,K02013_2,54
HIV1139,K02013_2,0
HIV1141,K02013_3,54
HIV1142,K02013_3,58
HIV1144,K02013_3,44
HIV1145,K02013_3,33
HIV1146,K02013_3,26
HIV1148,K02013_3,32
HIV1149,K02013_3,30
HIV1150,K02013_3,37
HIV1151,K02013_3,2
HIV1153,K02013_3,22
HIV1154,K02013_3,12
HIV1156,K02013_3,14
HIV1157,K02013_3,18
HIV1158,K02013_3,24
HIV1160,K02013_3,13
HIV1161,K02013_3,74
HIV1162,K02013_3,23
HIV1164,K02013_3,33
HIV1165,K02013_3,26
HIV1166,K02013_3,15
HIV1167,K02013_3,26
HIV1168,K02013_3,40
HIV1169,K02013_3,20
HIV1170,K02013_3,8
HIV1171,K02013_3,15
HIV1172,K02013_3,16
HIV1173,K02013_3,35
HIV1174,K02013_3,26
HIV1175,K02013_3,35
HIV1176,K02013_3,45
HIV1177,K02013_3,32
HIV1180,K02013_3,32
HIV1182,K02013_3,26
HIV1183,K02013_3,10
HIV1184,K02013_3,15
HIV1186,K02013_4,51
HIV1188,K02013_4,46
HIV1190,K02013_4,94
HIV1192,K02013_5,4
HIV1193,K02013_5,3
HIV1194,K02013_5,24
HIV1195,K02013_6,54
HIV1198,K02013_3,5
HIV1200,K02013_6,8
HIV1279,K02013_1,61.2
HIV1280,K02013_1,98.5
HIV1298,K02013_3,100
HIV1299,K02013_3,100
HIV1386,K02013_2,73
HIV1400,K02013_1,89
HIV1401,K02013_1,87
HIV1402,K02013_1,97
HIV1403,K02013_1,86
HIV1404,K02013_1,51
HIV1405,K02013_1,51
HIV1406,K02013_1,61
HIV1412,K02013_3,54
HIV1413,K02013_3,57
HIV1415,K02013_3,72
HIV1416,K02013_3,68
HIV1418,K02013_3,3
HIV1419,K02013_4,53
HIV1421,K02013_6,61
HIV1519,K02013_3,82
HIV1527,K02013_6,0
HIV1543,K02013_6,95
HIV1562,K02013_2,92
HIV1590,K02013_1,0
HIV1591,K02013_1,0
HIV1592,K02013_6,0
HIV1593,K02013_4,0
HIV1594,K02013_4,0
HIV1595,K02013_1,0
HIV1596,K02013_1,0
HIV1602,K02013_2,92
HIV1098,K03455_3,80
HIV1099,K03455_5,70
HIV1205,K03455_2,28
HIV1207,K03455_3,61
HIV1208,K03455_3,60
HIV1209,K03455_4,29
HIV1228,K03455_3,90
HIV1229,K03455_1,54
HIV1281,K03455_1,98.5
HIV1295,EU541617_3,94
HIV1296,EU541617_3,98.5
HIV1297,EU541617_3,100
HIV1525,EU541617_4,0
HIV1624,K02013_1,38
HIV1625,K02013_1,51
HIV1282,K03455_2,98.5
HIV1283,K03455_2,95.5
HIV1284,K03455_3,98.5
HIV1285,K03455_4,98.5
HIV1300,K03455_4,98.5
HIV1286,AB023804_2,98.5
HIV1287,AB023804_2,95.5
HIV1288,M17451_1,95.5
HIV1289,M17451_1,97
HIV1667,AF324493_8,97
HIV1668,AF324493_1,97
HIV1575,EU541617_3,80
HIV1585,EU541617_2,88
HIV1626,K02013_1,38
HIV1301,K03455_4,100
HIV1302,K03455_4,100
HIV1374,K03455_5,90
HIV1303,AB023804_3,71.6
HIV1305,M17451_2,83.6
HIV1306,M17451_3,91
HIV1308,AB023804_1,85.3
HIV1309,AB023804_1,94.1
HIV1310,AB023804_1,95.6
HIV1311,AB023804_1,95.6
HIV1312,AB023804_1,82.4
HIV1313,AB023804_1,92.6
HIV1314,AB023804_1,92.6
HIV1315,AB023804_1,76.5
HIV1316,AB023804_1,25
HIV1317,AB023804_1,95.6
HIV1318,AB023804_1,97.1
HIV1319,AB023804_1,97.1
HIV1320,AB023804_3,97.1
HIV1323,AB023804_2,97.1
HIV1324,AB023804_2,97.1
HIV1325,AB023804_2,97.1
HIV1326,AB023804_2,97.1
HIV1327,AB023804_3,98.5
HIV1328,AB023804_3,95.6
HIV1329,AB023804_3,97.1
HIV1330,AB023804_3,97.1
HIV1331,AB023804_3,95.6
HIV1332,AB023804_3,95.6
HIV1333,AB023804_3,95.6
HIV1335,AB023804_3,85.3
HIV1336,AB023804_3,97.1
HIV1337,AB023804_3,97.1
HIV1338,AB023804_3,95.6
HIV1340,AB023804_3,97.1
HIV1341,AB023804_3,97.1
HIV1342,AB023804_4,95.6
HIV1343,AB023804_4,94.1
HIV1526,M17451_4,0
HIV1344,AB052995_1,89.7
HIV1345,AB052995_1,97.1
HIV1346,AB052995_1,97.1
HIV1347,AB052995_2,97.1
HIV1348,AB052995_2,94.1
HIV1349,AB052995_3,97.1
HIV1350,AB052995_5,95.6
HIV1351,AB052995_3,98.5
HIV1352,AB052995_3,92.6
HIV1353,AB052995_3,86.8
HIV1354,AB052995_3,73.5
HIV1355,AB052995_4,92.6
HIV1356,AB052995_4,94.1
HIV1357,AB052995_4,85.3
HIV1358,AB052995_4,94.1
HIV1359,AB052995_5,97
HIV1360,AB052995_5,75
HIV1361,AB052995_5,77.9
HIV1362,AB052995_5,95.6
HIV1363,AB052995_5,91.2
HIV1364,AB052995_5,94.1
HIV1365,AB052995_5,83.8
HIV1366,AB052995_5,85.3
HIV1367,AB052995_5,88.2
HIV1368,AB052995_5,94.1
HIV1369,AB052995_5,88.2
HIV1370,AB052995_5,89.7
HIV1371,AB052995_5,94.1
HIV1372,AB052995_6,94.1
HIV1373,AB052995_6,86.8
