mRNA,siRNA,Efficacy
NM_002559,NM_00255971,0.8
NM_002559,NM_00255972,0.799
NM_002559,NM_00255973,0.797
NM_002559,NM_00255974,0.796
NM_002559,NM_00255975,0.821
NM_002559,NM_00255976,0.82
NM_002559,NM_00255977,0.819
NM_002559,NM_00255978,0.816
NM_002559,NM_00255979,0.813
NM_002559,NM_00255980,0.987
NM_002559,NM_00255981,0.983
NM_002559,NM_00255982,0.977
NM_002559,NM_00255983,0.974
NM_002559,NM_00255984,0.968
NM_002559,NM_00255985,0.887
NM_002559,NM_00255986,0.886
NM_002559,NM_00255987,0.885
NM_002559,NM_00255988,0.883
NM_002559,NM_00255989,0.882
NM_003342,NM_0033421,1.008
NM_003342,NM_0033422,0.983
NM_003342,NM_0033423,0.977
NM_003342,NM_0033424,0.977
NM_003342,NM_0033425,0.974
NM_003342,NM_0033426,0.972
NM_003342,NM_0033427,0.967
NM_003342,NM_0033428,0.953
NM_003342,NM_0033429,0.952
NM_003342,NM_00334210,0.951
NM_003342,NM_00334211,0.951
NM_003342,NM_00334212,0.947
NM_003342,NM_00334213,0.944
NM_003342,NM_00334214,0.943
NM_003342,NM_00334215,0.935
NM_003342,NM_00334216,0.931
NM_003342,NM_00334217,0.921
NM_003342,NM_00334218,0.92
NM_003342,NM_00334219,0.919
NM_003342,NM_00334220,0.918
NM_003342,NM_00334221,0.918
NM_003342,NM_00334222,0.915
NM_003342,NM_00334223,0.913
NM_003342,NM_00334224,0.912
NM_003342,NM_00334225,0.907
NM_003342,NM_00334226,0.905
NM_003342,NM_00334227,0.904
NM_003342,NM_00334228,0.903
NM_003342,NM_00334229,0.902
NM_003342,NM_00334230,0.902
NM_003342,NM_00334231,0.902
NM_003342,NM_00334232,0.9
NM_003342,NM_00334233,0.899
NM_003342,NM_00334234,0.895
NM_003342,NM_00334235,0.893
NM_003342,NM_00334236,0.891
NM_003342,NM_00334237,0.891
NM_003342,NM_00334238,0.89
NM_003342,NM_00334239,0.824
NM_003342,NM_00334240,0.821
NM_003342,NM_00334241,0.819
NM_003342,NM_00334242,0.815
NM_003342,NM_00334243,0.789
NM_003342,NM_00334244,0.787
NM_003342,NM_00334245,0.786
NM_003342,NM_00334246,0.786
NM_003342,NM_00334247,0.785
NM_003342,NM_00334248,0.784
NM_003342,NM_00334249,0.75
NM_003342,NM_00334250,0.749
NM_003342,NM_00334251,0.748
NM_003342,NM_00334252,0.747
NM_003342,NM_00334253,0.747
NM_003342,NM_00334254,0.746
NM_003342,NM_00334255,0.746
NM_003342,NM_00334256,0.745
NM_003342,NM_00334257,0.745
NM_003342,NM_00334258,0.743
NM_003342,NM_00334259,0.679
NM_003342,NM_00334260,0.678
NM_003342,NM_00334261,0.677
NM_003342,NM_00334262,0.677
NM_003342,NM_00334263,0.676
NM_003342,NM_00334264,0.632
NM_003342,NM_00334265,0.631
NM_003342,NM_00334266,0.629
NM_003342,NM_00334267,0.625
NM_003342,NM_00334268,0.624
NM_003342,NM_00334269,0.623
NM_003342,NM_00334270,0.582
NM_003342,NM_00334271,0.579
NM_003342,NM_00334272,0.577
NM_003342,NM_00334273,0.577
NM_003342,NM_00334274,0.575
NM_003342,NM_00334275,0.573
NM_003342,NM_00334276,0.571
NM_003342,NM_00334277,0.354
NM_003342,NM_00334278,0.35
NM_003342,NM_00334279,0.324
NM_006357,NM_0063571,0.806
NM_006357,NM_0063572,0.805
NM_006357,NM_0063573,0.803
NM_006357,NM_0063574,0.803
NM_006357,NM_0063575,0.802
NM_006357,NM_0063576,0.802
NM_006357,NM_0063577,0.801
NM_006357,NM_0063578,0.8
NM_006357,NM_0063579,0.799
NM_006357,NM_00635710,0.798
NM_006357,NM_00635711,0.796
NM_006357,NM_00635712,0.796
NM_006357,NM_00635713,0.793
NM_006357,NM_00635714,0.793
NM_006357,NM_00635715,0.793
NM_006357,NM_00635716,0.79
NM_006357,NM_00635717,0.79
NM_006357,NM_00635718,0.79
NM_006357,NM_00635719,0.788
NM_006357,NM_00635720,0.787
NM_006357,NM_00635721,0.787
NM_006357,NM_00635722,0.787
NM_006357,NM_00635723,0.787
NM_006357,NM_00635724,0.786
NM_006357,NM_00635725,0.785
NM_006357,NM_00635726,0.784
NM_006357,NM_00635727,0.784
NM_006357,NM_00635728,0.783
NM_006357,NM_00635729,0.782
NM_006357,NM_00635730,0.782
NM_006357,NM_00635731,0.781
NM_006357,NM_00635732,0.78
NM_006357,NM_00635733,0.955
NM_006357,NM_00635734,0.937
NM_006357,NM_00635735,0.937
NM_006357,NM_00635736,0.935
NM_006357,NM_00635737,0.934
NM_006357,NM_00635738,0.923
NM_006357,NM_00635739,0.922
NM_006357,NM_00635740,0.921
NM_006357,NM_00635741,0.921
NM_006357,NM_00635742,0.921
NM_006357,NM_00635743,0.916
NM_006357,NM_00635744,0.914
NM_006357,NM_00635745,0.911
NM_006357,NM_00635746,0.91
NM_006357,NM_00635747,0.909
NM_006357,NM_00635748,0.907
NM_006357,NM_00635749,0.902
NM_006357,NM_00635750,0.898
NM_006357,NM_00635751,0.881
NM_006357,NM_00635752,0.76
NM_006357,NM_00635753,0.76
NM_006357,NM_00635754,0.76
NM_006357,NM_00635755,0.759
NM_006357,NM_00635756,0.759
NM_006357,NM_00635757,0.758
NM_006357,NM_00635758,0.758
NM_006357,NM_00635759,0.758
NM_006357,NM_00635760,0.757
NM_006357,NM_00635761,0.757
NM_006357,NM_00635762,0.757
NM_006357,NM_00635763,0.755
NM_006357,NM_00635764,0.754
NM_006357,NM_00635765,0.754
NM_006357,NM_00635766,0.753
NM_006357,NM_00635767,0.753
NM_006357,NM_00635768,0.753
NM_006357,NM_00635769,0.753
NM_006357,NM_00635770,0.752
NM_006357,NM_00635771,0.752
NM_006357,NM_00635772,0.752
NM_006357,NM_00635773,0.752
NM_006357,NM_00635774,0.751
NM_006357,NM_00635775,0.75
NM_006357,NM_00635776,0.749
NM_006357,NM_00635777,0.748
NM_006357,NM_00635778,0.748
NM_006357,NM_00635779,0.731
NM_020548,NM_0205481,0.744
NM_020548,NM_0205482,0.671
NM_020548,NM_0205483,0.532
NM_020548,NM_0205484,0.399
NM_020548,NM_0205485,0.387
NM_020548,NM_0205486,0.385
NM_001001481,NM_0010014811,1.115
NM_001001481,NM_0010014812,1.108
NM_001001481,NM_0010014813,1.085
NM_001001481,NM_0010014814,1.081
NM_001001481,NM_0010014815,1.08
NM_001001481,NM_0010014816,1.079
NM_001001481,NM_0010014817,1.076
NM_001001481,NM_0010014818,1.072
NM_001001481,NM_0010014819,1.065
NM_001001481,NM_00100148110,1.063
NM_001001481,NM_00100148111,1.06
NM_001001481,NM_00100148112,1.056
NM_001001481,NM_00100148113,1.056
NM_001001481,NM_00100148114,1.053
NM_001001481,NM_00100148115,1.053
NM_001001481,NM_00100148116,1.051
NM_001001481,NM_00100148117,1.044
NM_001001481,NM_00100148118,1.036
NM_001001481,NM_00100148119,1.033
NM_001001481,NM_00100148120,1.033
NM_001001481,NM_00100148121,1.029
NM_001001481,NM_00100148122,1.029
NM_001001481,NM_00100148123,1.028
NM_001001481,NM_00100148124,1.027
NM_001001481,NM_00100148125,1.026
NM_001001481,NM_00100148126,1.021
NM_001001481,NM_00100148127,1.021
NM_001001481,NM_00100148128,1.021
NM_001001481,NM_00100148129,1.015
NM_001001481,NM_00100148130,1.012
NM_001001481,NM_00100148131,1.01
NM_001001481,NM_00100148132,1.01
NM_001001481,NM_00100148133,1.009
NM_001001481,NM_00100148134,1.003
NM_001001481,NM_00100148135,1.002
NM_001001481,NM_00100148136,1.0
NM_001001481,NM_00100148137,1.0
NM_001001481,NM_00100148138,1.0
NM_001001481,NM_00100148139,0.999
NM_001001481,NM_00100148140,0.994
NM_001001481,NM_00100148141,0.991
NM_001001481,NM_00100148142,0.991
NM_001001481,NM_00100148143,0.991
NM_001001481,NM_00100148144,0.991
NM_001001481,NM_00100148145,0.988
NM_001001481,NM_00100148146,0.987
NM_001001481,NM_00100148147,0.985
NM_001001481,NM_00100148148,0.983
NM_001001481,NM_00100148149,0.982
NM_001001481,NM_00100148150,0.98
NM_001001481,NM_00100148151,0.978
NM_001001481,NM_00100148152,0.978
NM_001001481,NM_00100148153,0.975
NM_001001481,NM_00100148154,0.972
NM_001001481,NM_00100148155,0.972
NM_001001481,NM_00100148156,0.971
NM_001001481,NM_00100148157,0.964
NM_001001481,NM_00100148158,0.961
NM_001001481,NM_00100148159,0.96
NM_001001481,NM_00100148160,0.959
NM_001001481,NM_00100148161,0.957
NM_001001481,NM_00100148162,0.956
NM_001001481,NM_00100148163,0.956
NM_001001481,NM_00100148164,0.951
NM_001001481,NM_00100148165,0.95
NM_001001481,NM_00100148166,0.949
NM_001001481,NM_00100148167,0.944
NM_001001481,NM_00100148168,0.943
NM_001001481,NM_00100148169,0.943
NM_001001481,NM_00100148170,0.943
NM_001001481,NM_00100148171,0.943
NM_001001481,NM_00100148172,0.942
NM_001001481,NM_00100148173,0.941
NM_001001481,NM_00100148174,0.852
NM_001001481,NM_00100148175,0.85
NM_001001481,NM_00100148176,0.848
NM_001001481,NM_00100148177,0.679
U47296,U472961,0.969
U47296,U472962,0.968
U47296,U472963,0.967
U47296,U472964,0.854
U47296,U472965,0.793
U47296,U472966,0.611
U47296,U472967,0.552
U47296,U472968,0.284
U47296,U472969,0.324
U47298,U472981,0.985
U47298,U472982,0.984
U47298,U472983,0.984
U47298,U472984,0.983
U47298,U472985,0.982
U47298,U472986,0.979
U47298,U472987,0.979
U47298,U472988,0.978
U47298,U472989,0.977
U47298,U4729810,0.977
U47298,U4729811,0.975
U47298,U4729812,0.975
U47298,U4729813,0.974
U47298,U4729814,0.974
U47298,U4729815,0.974
U47298,U4729816,0.972
U47298,U4729817,0.972
U47298,U4729818,0.97
U47298,U4729819,0.969
U47298,U4729820,0.969
U47298,U4729821,0.968
U47298,U4729822,0.967
U47298,U4729823,0.966
U47298,U4729824,0.964
U47298,U4729825,0.962
U47298,U4729826,0.962
U47298,U4729827,0.961
U47298,U4729828,0.961
U47298,U4729829,0.961
U47298,U4729830,0.96
U47298,U4729831,0.958
U47298,U4729832,0.955
U47298,U4729833,0.954
U47298,U4729834,0.954
U47298,U4729835,0.954
U47298,U4729836,0.953
U47298,U4729837,0.953
U47298,U4729838,0.953
U47298,U4729839,0.952
U47298,U4729840,0.952
U47298,U4729841,0.896
U47298,U4729842,0.895
U47298,U4729843,0.895
U47298,U4729844,0.894
U47298,U4729845,0.894
U47298,U4729846,0.894
U47298,U4729847,0.894
U47298,U4729848,0.894
U47298,U4729849,0.894
U47298,U4729850,0.894
U47298,U4729851,0.893
U47298,U4729852,0.893
U47298,U4729853,0.893
U47298,U4729854,0.892
U47298,U4729855,0.892
U47298,U4729856,0.892
U47298,U4729857,0.891
U47298,U4729858,0.863
U47298,U4729859,0.862
U47298,U4729860,0.861
U47298,U4729861,0.837
U47298,U4729862,0.837
U47298,U4729863,0.836
U47298,U4729864,0.834
U47298,U4729865,0.834
U47298,U4729866,0.833
U47298,U4729867,0.765
U47298,U4729868,0.765
U47298,U4729869,0.764
U47298,U4729870,0.764
U47298,U4729871,0.764
U47298,U4729872,0.764
U47298,U4729873,0.764
U47298,U4729874,0.764
U47298,U4729875,0.764
U47298,U4729876,0.764
U47298,U4729877,0.763
U47298,U4729878,0.628
U47298,U4729879,0.627
U47298,U4729880,0.352
U47298,U4729881,0.351
U47298,U4729882,0.349
U47298,U4729883,0.349
U47298,U4729884,0.347
U47298,U4729885,0.345
U47298,U4729886,0.344
U47298,U4729887,0.343
U47298,U4729888,0.341
U47298,U4729889,0.34
U47298,U4729890,0.34
U47298,U4729891,0.337
U47298,U4729892,0.337
U47298,U4729893,0.334
U47298,U4729894,0.33
U47298,U4729895,0.328
U47298,U4729896,0.327
U47298,U4729897,0.326
U47298,U4729898,0.324
U47298,U4729899,0.32
U47298,U47298100,0.316
U47298,U47298101,0.303
U47298,U47298102,0.294
U47298,U47298103,0.291
U47298,U47298104,0.285
U47298,U47298105,0.284
U47298,U47298106,0.441
U47298,U47298107,0.44
U47298,U47298108,0.439
U47298,U47298109,0.439
U47298,U47298110,0.439
U47298,U47298111,0.439
U47298,U47298112,0.438
U47298,U47298113,0.438
U47298,U47298114,0.438
U47298,U47298115,0.437
U47298,U47298116,0.436
U47298,U47298117,0.51
U47298,U47298118,0.51
U47298,U47298119,0.509
U47298,U47298120,0.551
U47298,U47298121,0.551
U47298,U47298122,0.55
X75932,X759321,0.782
X75932,X759322,0.825
X75932,X759323,0.693
X75932,X759324,0.341
X75932,X759325,0.335
X75932,X759326,0.319
X75932,X759327,0.318
X75932,X759328,0.305
X75932,X759329,0.278
X75932,X7593210,0.227
NM_007019,NM_0070191,0.954
NM_007019,NM_0070192,0.948
NM_007019,NM_0070193,0.924
NM_007019,NM_0070194,0.92
NM_007019,NM_0070195,0.901
NM_007019,NM_0070196,0.898
NM_007019,NM_0070197,0.881
NM_007019,NM_0070198,0.88
NM_007019,NM_0070199,0.878
NM_007019,NM_00701910,0.867
NM_007019,NM_00701911,0.862
NM_007019,NM_00701912,0.859
NM_007019,NM_00701913,0.837
NM_007019,NM_00701914,0.832
NM_007019,NM_00701915,0.829
NM_007019,NM_00701916,0.828
NM_007019,NM_00701917,0.823
NM_007019,NM_00701918,0.819
NM_007019,NM_00701919,0.818
NM_007019,NM_00701920,0.817
NM_007019,NM_00701921,0.816
NM_007019,NM_00701922,0.815
NM_007019,NM_00701923,0.805
NM_007019,NM_00701924,0.804
NM_007019,NM_00701925,0.8
NM_007019,NM_00701926,0.795
NM_007019,NM_00701927,0.756
NM_007019,NM_00701928,0.755
NM_007019,NM_00701929,0.753
NM_007019,NM_00701930,0.752
NM_007019,NM_00701931,0.75
NM_007019,NM_00701932,0.749
NM_007019,NM_00701933,0.749
NM_007019,NM_00701934,0.746
NM_007019,NM_00701935,0.744
NM_007019,NM_00701936,0.743
NM_007019,NM_00701937,0.721
NM_007019,NM_00701938,0.719
NM_007019,NM_00701939,0.716
NM_007019,NM_00701940,0.715
NM_007019,NM_00701941,0.712
NM_007019,NM_00701942,0.71
NM_007019,NM_00701943,0.709
NM_007019,NM_00701944,0.678
NM_007019,NM_00701945,0.677
NM_007019,NM_00701946,0.673
NM_007019,NM_00701947,0.662
NM_007019,NM_00701948,0.656
NM_007019,NM_00701949,0.652
NM_007019,NM_00701950,0.651
NM_007019,NM_00701951,0.624
NM_007019,NM_00701952,0.623
NM_007019,NM_00701953,0.619
NM_007019,NM_00701954,0.601
NM_007019,NM_00701955,0.598
NM_007019,NM_00701956,0.535
NM_007019,NM_00701957,0.531
NM_007019,NM_00701958,0.519
NM_007019,NM_00701959,0.515
NM_007019,NM_00701960,0.51
NM_007019,NM_00701961,0.495
NM_007019,NM_00701962,0.493
NM_007019,NM_00701963,0.489
NM_007019,NM_00701964,0.486
NM_007019,NM_00701965,0.483
NM_007019,NM_00701966,0.48
NM_007019,NM_00701967,0.479
NM_007019,NM_00701968,0.463
NM_007019,NM_00701969,0.437
NM_007019,NM_00701970,0.411
NM_007019,NM_00701971,0.405
NM_007019,NM_00701972,0.4
NM_007019,NM_00701973,0.392
NM_007019,NM_00701974,0.389
NM_007019,NM_00701975,0.366
NM_007019,NM_00701976,0.355
NM_005450,NM_0054501,0.995
NM_005450,NM_0054502,0.99
NM_005450,NM_0054503,0.977
NM_005450,NM_0054504,0.968
NM_005450,NM_0054505,0.904
NM_005450,NM_0054506,0.902
NM_005450,NM_0054507,0.883
NM_005450,NM_0054508,0.882
NM_005450,NM_0054509,0.88
NM_005450,NM_00545010,0.877
NM_005450,NM_00545011,0.875
NM_005450,NM_00545012,0.871
NM_005450,NM_00545013,0.869
NM_005450,NM_00545014,0.851
NM_005450,NM_00545015,0.847
NM_005450,NM_00545016,0.846
NM_005450,NM_00545017,0.846
NM_005450,NM_00545018,0.845
NM_005450,NM_00545019,0.837
NM_005450,NM_00545020,0.835
NM_005450,NM_00545021,0.833
NM_005450,NM_00545022,0.83
NM_005450,NM_00545023,0.756
NM_005450,NM_00545024,0.755
NM_005450,NM_00545025,0.751
NM_005450,NM_00545026,0.741
NM_005450,NM_00545027,0.738
NM_005450,NM_00545028,0.738
NM_005450,NM_00545029,0.738
NM_005450,NM_00545030,0.735
NM_005450,NM_00545031,0.735
NM_005450,NM_00545032,0.733
NM_005450,NM_00545033,0.703
NM_005450,NM_00545034,0.702
NM_005450,NM_00545035,0.701
NM_005450,NM_00545036,0.697
NM_005450,NM_00545037,0.695
NM_005450,NM_00545038,0.693
NM_005450,NM_00545039,0.691
NM_005450,NM_00545040,0.66
NM_005450,NM_00545041,0.659
NM_005450,NM_00545042,0.659
NM_005450,NM_00545043,0.658
NM_005450,NM_00545044,0.657
NM_005450,NM_00545045,0.65
NM_005450,NM_00545046,0.649
NM_005450,NM_00545047,0.648
NM_005450,NM_00545048,0.647
NM_005450,NM_00545049,0.646
NM_005450,NM_00545050,0.624
NM_005450,NM_00545051,0.622
NM_005450,NM_00545052,0.621
NM_005450,NM_00545053,0.62
NM_005450,NM_00545054,0.6
NM_005450,NM_00545055,0.598
NM_005450,NM_00545056,0.596
NM_005450,NM_00545057,0.584
NM_005450,NM_00545058,0.583
NM_005450,NM_00545059,0.564
NM_005450,NM_00545060,0.563
NM_005450,NM_00545061,0.562
NM_005450,NM_00545062,0.472
NM_005450,NM_00545063,0.471
NM_005450,NM_00545064,0.47
NM_005450,NM_00545065,0.416
NM_005450,NM_00545066,0.415
NM_005450,NM_00545067,0.412
NM_005450,NM_00545068,0.409
NM_005450,NM_00545069,0.301
NM_005450,NM_00545070,0.3
NM_005450,NM_00545071,0.347
NM_003348,NM_0033481,1.044
NM_003348,NM_0033482,1.0
NM_003348,NM_0033483,0.995
NM_003348,NM_0033484,0.886
NM_003348,NM_0033485,0.885
NM_003348,NM_0033486,0.882
NM_003348,NM_0033487,0.879
NM_003348,NM_0033488,0.878
NM_003348,NM_0033489,0.877
NM_003348,NM_00334810,0.875
NM_003348,NM_00334811,0.873
NM_003348,NM_00334812,0.862
NM_003348,NM_00334813,0.86
NM_003348,NM_00334814,0.859
NM_003348,NM_00334815,0.857
NM_003348,NM_00334816,0.857
NM_003348,NM_00334817,0.854
NM_003348,NM_00334818,0.854
NM_003348,NM_00334819,0.851
NM_003348,NM_00334820,0.85
NM_003348,NM_00334821,0.848
NM_003348,NM_00334822,0.842
NM_003348,NM_00334823,0.839
NM_003348,NM_00334824,0.791
NM_003348,NM_00334825,0.79
NM_003348,NM_00334826,0.789
NM_003348,NM_00334827,0.789
NM_003348,NM_00334828,0.788
NM_003348,NM_00334829,0.786
NM_003348,NM_00334830,0.786
NM_003348,NM_00334831,0.783
NM_003348,NM_00334832,0.759
NM_003348,NM_00334833,0.758
NM_003348,NM_00334834,0.757
NM_003348,NM_00334835,0.756
NM_003348,NM_00334836,0.756
NM_003348,NM_00334837,0.752
NM_003348,NM_00334838,0.751
NM_003348,NM_00334839,0.729
NM_003348,NM_00334840,0.727
NM_003348,NM_00334841,0.726
NM_003348,NM_00334842,0.703
NM_003348,NM_00334843,0.702
NM_003348,NM_00334844,0.701
NM_003348,NM_00334845,0.664
NM_003348,NM_00334846,0.663
NM_003348,NM_00334847,0.662
NM_003348,NM_00334848,0.661
NM_003348,NM_00334849,0.66
NM_003348,NM_00334850,0.641
NM_003348,NM_00334851,0.639
NM_003348,NM_00334852,0.638
NM_003348,NM_00334853,0.638
NM_003348,NM_00334854,0.637
NM_003348,NM_00334855,0.636
NM_003348,NM_00334856,0.606
NM_003348,NM_00334857,0.604
NM_003348,NM_00334858,0.602
NM_003348,NM_00334859,0.602
NM_003348,NM_00334860,0.599
NM_003348,NM_00334861,0.597
NM_003348,NM_00334862,0.596
NM_003348,NM_00334863,0.594
NM_003348,NM_00334864,0.592
NM_003348,NM_00334865,0.591
NM_003348,NM_00334866,0.59
NM_003348,NM_00334867,0.589
NM_003348,NM_00334868,0.588
NM_003348,NM_00334869,0.586
NM_003348,NM_00334870,0.585
NM_003348,NM_00334871,0.584
NM_003348,NM_00334872,0.583
NM_003348,NM_00334873,0.582
NM_003348,NM_00334874,0.578
NM_003348,NM_00334875,0.403
NM_003348,NM_00334876,0.399
NM_003348,NM_00334877,0.397
NM_003348,NM_00334878,0.371
NM_003348,NM_00334879,0.303
NM_016021,NM_0160211,1.015
NM_016021,NM_0160212,0.995
NM_016021,NM_0160213,0.994
NM_016021,NM_0160214,0.84
NM_016021,NM_0160215,0.839
NM_016021,NM_0160216,0.839
NM_016021,NM_0160217,0.839
NM_016021,NM_0160218,0.837
NM_016021,NM_0160219,0.837
NM_016021,NM_01602110,0.837
NM_016021,NM_01602111,0.836
NM_016021,NM_01602112,0.794
NM_016021,NM_01602113,0.793
NM_016021,NM_01602114,0.793
NM_016021,NM_01602115,0.793
NM_016021,NM_01602116,0.792
NM_016021,NM_01602117,0.792
NM_016021,NM_01602118,0.791
NM_016021,NM_01602119,0.791
NM_016021,NM_01602120,0.79
NM_016021,NM_01602121,0.638
NM_016021,NM_01602122,0.637
NM_016021,NM_01602123,0.637
NM_016021,NM_01602124,0.637
NM_016021,NM_01602125,0.636
NM_016021,NM_01602126,0.636
NM_016021,NM_01602127,0.635
NM_016021,NM_01602128,0.635
NM_016021,NM_01602129,0.633
NM_016021,NM_01602130,0.54
NM_016021,NM_01602131,0.539
NM_016021,NM_01602132,0.538
NM_016021,NM_01602133,0.536
NM_016021,NM_01602134,0.487
NM_016021,NM_01602135,0.486
NM_016021,NM_01602136,0.485
NM_016021,NM_01602137,0.485
NM_016021,NM_01602138,0.484
NM_016021,NM_01602139,0.483
NM_016021,NM_01602140,0.479
NM_016021,NM_01602141,0.475
NM_016021,NM_01602142,0.368
NM_016021,NM_01602143,0.358
NM_016021,NM_01602144,0.357
NM_016021,NM_01602145,0.338
NM_016021,NM_01602146,0.327
NM_016021,NM_01602147,0.308
NM_016021,NM_01602148,0.689
NM_016021,NM_01602149,0.688
NM_014176,NM_0141761,1.1
NM_014176,NM_0141762,1.082
NM_014176,NM_0141763,1.074
NM_014176,NM_0141764,1.073
NM_014176,NM_0141765,1.068
NM_014176,NM_0141766,1.062
NM_014176,NM_0141767,1.056
NM_014176,NM_0141768,0.996
NM_014176,NM_0141769,0.994
NM_014176,NM_01417610,0.993
NM_014176,NM_01417611,0.991
NM_014176,NM_01417612,0.99
NM_014176,NM_01417613,0.98
NM_014176,NM_01417614,0.979
NM_014176,NM_01417615,0.979
NM_014176,NM_01417616,0.978
NM_014176,NM_01417617,0.976
NM_014176,NM_01417618,0.975
NM_014176,NM_01417619,0.975
NM_014176,NM_01417620,0.974
NM_014176,NM_01417621,0.973
NM_014176,NM_01417622,0.972
NM_014176,NM_01417623,0.967
NM_014176,NM_01417624,0.96
NM_014176,NM_01417625,0.952
NM_014176,NM_01417626,0.951
NM_014176,NM_01417627,0.949
NM_014176,NM_01417628,0.945
NM_014176,NM_01417629,0.944
NM_014176,NM_01417630,0.942
NM_014176,NM_01417631,0.94
NM_014176,NM_01417632,0.937
NM_014176,NM_01417633,0.937
NM_014176,NM_01417634,0.933
NM_014176,NM_01417635,0.932
NM_014176,NM_01417636,0.93
NM_014176,NM_01417637,0.929
NM_014176,NM_01417638,0.928
NM_014176,NM_01417639,0.926
NM_014176,NM_01417640,0.924
NM_014176,NM_01417641,0.922
NM_014176,NM_01417642,0.921
NM_014176,NM_01417643,0.916
NM_014176,NM_01417644,0.916
NM_014176,NM_01417645,0.915
NM_014176,NM_01417646,0.913
NM_014176,NM_01417647,0.911
NM_014176,NM_01417648,0.909
NM_014176,NM_01417649,0.909
NM_014176,NM_01417650,0.906
NM_014176,NM_01417651,0.906
NM_014176,NM_01417652,0.905
NM_014176,NM_01417653,0.904
NM_014176,NM_01417654,0.903
NM_014176,NM_01417655,0.903
NM_014176,NM_01417656,0.902
NM_014176,NM_01417657,0.875
NM_014176,NM_01417658,0.871
NM_014176,NM_01417659,0.869
NM_014176,NM_01417660,0.868
NM_014176,NM_01417661,0.868
NM_014176,NM_01417662,0.867
NM_014176,NM_01417663,0.867
NM_014176,NM_01417664,0.867
NM_014176,NM_01417665,0.865
NM_014176,NM_01417666,0.865
NM_014176,NM_01417667,0.864
NM_014176,NM_01417668,0.863
NM_014176,NM_01417669,0.861
NM_014176,NM_01417670,0.86
NM_014176,NM_01417671,0.799
NM_014176,NM_01417672,0.798
NM_014176,NM_01417673,0.797
NM_014176,NM_01417674,0.796
NM_014176,NM_01417675,0.796
NM_014176,NM_01417676,0.795
NM_014176,NM_01417677,0.794
J30312,J30312_1,1.058
J30312,J30312_2,1.05
J30312,J30312_3,1.043
J30312,J30312_4,1.03
J30312,J30312_5,1.03
J30312,J30312_6,1.03
J30312,J30312_7,1.009
J30312,J30312_8,0.99
