siRNA,mRNA,efficacy
A595,NM_015213_2,0.752
A596,NM_015213_2,0.662
A597,NM_015213_2,0.649
B385,J03132_1,0.4
B351,U92436_1,0.75
A598,NM_015213_2,0.608
A536,NM_015213_2,0.371
A537,NM_015213_2,0.584
B310,X75932,0.584
B75,U47298,0.945
A538,NM_015213_2,0.564
B74,U47298,0.936
B73,U47298,0.529
B350,U92436_1,0.73
B386,J03132_1,0.05
B91,NM_001632,0.32
A599,NM_015213_2,0.598
A600,NM_015213_2,0.654
B90,NM_001632,0.6
A601,NM_015213_2,0.508
B72,U47298,0.107
A539,NM_015213_2,0.447
A602,NM_015213_2,0.436
A603,NM_015213_2,0.453
A604,NM_015213_2,0.536
A605,NM_015213_2,0.5
B285,NM_031313,0.06
B284,NM_031313,0.802
A398,XM_371822_1,0.653
A399,XM_371822_1,0.627
A400,XM_371822_1,1.016
B283,NM_031313,0.212
B287,NM_031313,0.624
B349,U92436_1,0.65
A401,XM_371822_1,0.845
A540,NM_015213_2,0.374
A606,NM_015213_2,0.549
A402,XM_371822_1,0.723
A403,XM_371822_1,0.742
A541,NM_015213_2,0.669
A404,XM_371822_1,0.772
B387,J03132_1,0.35
B71,U47298,0.878
B70,U47298,0.865
A405,XM_371822_1,0.422
B412,U47298,0.93
B348,U92436_1,0.49
A406,XM_371822_1,0.801
A607,NM_015213_2,0.679
A407,XM_371822_1,0.574
A542,NM_015213_2,0.506
A408,XM_371822_1,0.494
B88,NM_001632,0.2
A543,NM_015213_2,0.717
B388,J03132_1,0.59
A608,NM_015213_2,0.487
B419,NM_001632,0.74
B69,U47298,0.989
B347,U92436_1,0.48
B87,NM_001632,0.85
A544,NM_015213_2,0.702
A409,XM_371822_1,0.564
A545,NM_015213_2,0.523
A410,XM_371822_1,0.779
A411,XM_371822_1,0.916
A412,XM_371822_1,0.758
A413,XM_371822_1,0.707
A414,XM_371822_1,0.617
A609,NM_015213_2,0.677
A415,XM_371822_1,0.787
B68,U47298,0.989
A416,XM_371822_1,0.793
A417,XM_371822_1,0.768
A418,XM_371822_1,0.654
A419,XM_371822_1,0.711
B290,U47296,0.386
A420,XM_371822_1,0.758
B67,U47298,0.933
A421,XM_371822_1,0.819
A422,XM_371822_1,0.758
A610,NM_015213_1,0.513
A423,XM_371822_1,0.699
B66,U47298,0.963
B346,U92436_1,0.27
B65,U47298,0.945
B418,NM_001632,0.79
B389,J03132_1,0.01
A424,XM_371822_1,0.868
A546,NM_015213_1,0.288
B64,U47298,0.699
A425,XM_371822_1,0.893
B345,U92436_1,0.31
A426,XM_371822_1,0.247
A427,XM_371822_1,0.895
A428,XM_371822_1,0.986
B309,X75932,0.58
A429,XM_371822_1,0.695
A430,XM_371822_1,0.886
B344,U92436_1,0.52
B86,NM_001632,0.3
B314,X75932,0.822
A431,XM_371822_1,0.99
A432,XM_371822_1,0.564
B417,NM_001632,0.565
B390,J03132_1,0.2
A611,NM_015213_1,0.537
B63,U47298,0.735
A433,XM_371822_1,0.732
A454,XM_371822_1,0.723
A455,XM_371822_1,0.595
B343,U92436_1,0.58
B282,NM_031313,0.018
B308,X75932,0.526
A612,NM_015213_1,0.667
A547,NM_015213_1,0.632
B391,J03132_1,0.52
A456,XM_371822_1,0.357
B289,U47296,0.555
A457,XM_371822_1,0.218
A613,NM_015213_1,0.249
B62,U47298,0.975
A548,NM_015213_1,0.39
A458,XM_371822_1,0.468
B61,U47298,0.3
A614,NM_015213_1,0.742
B392,J03132_1,0.21
B342,U92436_1,0.32
A459,XM_371822_1,0.731
A460,XM_371822_1,0.721
A461,XM_371822_1,0.749
A549,NM_015213_1,0.621
B313,X75932,0.55
A462,XM_371822_1,0.272
A550,NM_015213_1,0.608
B60,U47298,0.949
A463,XM_371822_1,0.367
A464,XM_371822_1,0.727
B59,U47298,0.373
A465,XM_371822_1,0.615
A551,NM_015213_1,0.683
B58,U47298,0.919
A466,XM_371822_1,0.659
A467,XM_371822_1,0.68
B57,U47298,0.197
A615,NM_015213_1,0.499
A468,XM_371822_1,0.483
A616,NM_015213_1,0.805
A469,XM_371822_1,0.585
A470,XM_371822_1,0.687
B341,U92436_1,0.2
A617,NM_015213_1,0.829
A471,XM_371822_1,0.677
B295,U47296,0.919
B56,U47298,0.931
A472,XM_371822_1,0.743
A473,XM_371822_1,0.584
A474,XM_371822_1,0.492
A475,XM_371822_1,0.604
B393,J03132_1,0.62
B340,U92436_1,0.62
A618,NM_015213_1,0.696
A476,XM_371822_1,0.661
A619,NM_015213_1,0.683
A477,XM_371822_1,0.293
A620,NM_015213_1,0.563
B84,NM_001632,0.88
A621,NM_015213_1,0.686
A478,XM_371822_1,0.292
A479,XM_371822_1,0.259
B307,X75932,0.439
A622,NM_015213_1,0.734
A552,NM_015213_1,0.722
B55,U47298,0.354
A623,NM_015213_1,0.559
B54,U47298,0.166
B53,U47298,0.234
B394,J03132_1,0.75
A480,XM_371822_1,0.668
A481,XM_371822_1,0.521
B52,U47298,0.932
B339,U92436_1,0.25
B51,U47298,0.538
A553,NM_015213_1,0.725
B312,X75932,0.685
B50,U47298,0.23
A482,XM_371822_1,0.725
B49,U47298,0.059
A554,NM_015213_1,0.576
A483,XM_371822_1,0.395
B48,U47298,0.076
A484,XM_371822_1,0.693
B47,U47298,0.111
A485,XM_371822_1,0.72
B46,U47298,0.949
B45,U47298,0.858
A624,NM_015213_1,0.574
A555,NM_015213_1,0.751
A625,NM_015213_1,0.758
B306,X75932,0.306
A486,XM_371822_1,0.584
A487,XM_371822_1,0.396
A556,NM_015213_1,0.579
B83,NM_001632,0.49
A488,XM_371822_1,0.702
B281,NM_031313,0.908
B416,NM_001632,0.547
B338,U92436_1,0.4
A489,XM_371822_1,0.278
A490,XM_371822_1,0.873
A491,XM_371822_1,0.739
A626,NM_015213_1,0.547
A492,XM_371822_1,0.639
B82,NM_001632,0.81
A493,XM_371822_1,0.774
A557,NM_015213_1,0.908
A558,NM_015213_1,0.837
A559,NM_015213_1,0.464
A494,XM_371822_1,0.758
A495,XM_371822_1,0.344
A496,XM_371822_1,0.342
A497,XM_371822_1,0.438
A498,XM_371822_1,0.605
A560,NM_015213_1,0.73
B337,U92436_1,0
A627,NM_015213_1,0.541
A499,XM_371822_1,0.535
A500,XM_371822_1,0.651
B395,J03132_1,0.5
A501,XM_371822_1,0.709
A628,NM_015213_1,0.604
B336,U92436_1,0
A502,XM_371822_1,0.844
B396,J03132_1,0.58
