siRNA,mRNA,efficacy
S59,NM_001530.4_2,0.88
S200,NM_001098540.3,0.94
S201,NM_001098540.3,0.81
S206,NM_001098540.3,0.72
S58,NM_001530.4_1,0.31
S156,NM_000189.5_1,0.75
S325,NM_004456.5,0.76
S207,NM_001098540.3,0.94
S57,NM_001530.4_1,0.89
S56,NM_001530.4_1,0.81
S55,NM_001530.4_1,0.89
S54,NM_001530.4_1,0.84
S204,NM_001098540.3,0.92
S53,NM_001530.4_1,0.84
S205,NM_001098540.3,0.46
S266,NM_001098540.3,0.61
S265,NM_001098540.3,0.9
S52,NM_001530.4_1,0.81
S51,NM_001530.4_1,0.53
S326,NM_004456.5,0.37
S50,NM_001530.4_1,0.9
S270,NM_001098540.3,0.98
S49,NM_001530.4_1,0.9
S48,NM_001530.4_1,0.8
S47,NM_001530.4_1,0.9
S269,NM_001098540.3,0.94
S210,NM_001098540.3,0.87
S46,NM_001530.4_1,0.85
S45,NM_001530.4_1,0.87
S268,NM_001098540.3,0.55
S44,NM_001530.4_1,0.83
S267,NM_001098540.3,0.85
S134,NM_000189.5_1,0.77
S274,NM_001098540.3,0.86
S43,NM_001530.4_1,0.9
S191,NM_000189.5_1,0.44
S42,NM_001530.4_1,0.86
S273,NM_001098540.3,0.9
S272,NM_001098540.3,0.92
S171,NM_000189.5_1,0.79
S214,NM_001098540.3,0.95
S271,NM_001098540.3,0.94
S263,NM_001098540.3,0.87
S264,NM_001098540.3,0.88
S259,NM_001098540.3,0.93
S260,NM_001098540.3,0.63
S41,NM_001530.4_1,0.8
S261,NM_001098540.3,0.88
S262,NM_001098540.3,0.87
S255,NM_001098540.3,0.89
S40,NM_001530.4_1,0.87
S39,NM_001530.4_1,0.17
S165,NM_000189.5_1,0.81
S38,NM_001530.4_1,0.89
S256,NM_001098540.3,0.93
S37,NM_001530.4_1,0.88
S257,NM_001098540.3,0.95
S258,NM_001098540.3,0.88
S288,NM_001098540.3,0.89
S287,NM_001098540.3,0.93
S36,NM_001530.4_1,0.58
S168,NM_000189.5_1,0.8
S323,NM_002467.6,0.8
S35,NM_001530.4_1,0.89
S34,NM_001530.4_1,0.63
S294,NM_001098540.3,0.5
S33,NM_001530.4_1,0.91
S293,NM_001098540.3,0.66
S296,NM_001098540.3,0.87
S32,NM_001530.4_1,0.85
S295,NM_001098540.3,0.86
S290,NM_001098540.3,0.77
S289,NM_001098540.3,0.71
S211,NM_001098540.3,0.88
S140,NM_000189.5_1,0.75
S292,NM_001098540.3,0.9
S31,NM_001530.4_1,0.87
S356,NM_001904.4,0.89
S127,NM_000189.5_1,0.05
S30,NM_001530.4_1,0.23
S291,NM_001098540.3,0.75
S275,NM_001098540.3,0.58
S276,NM_001098540.3,0.82
S29,NM_001530.4_1,0.84
S283,NM_001098540.3,0.33
S284,NM_001098540.3,0.87
S28,NM_001530.4_1,0.91
S160,NM_000189.5_1,0.87
S27,NM_001530.4_1,0.89
S26,NM_001530.4_1,0.92
S25,NM_001530.4_1,0.39
S136,NM_000189.5_1,0.76
S281,NM_001098540.3,0.72
S355,NM_001904.4,0.85
S24,NM_001530.4_1,0.63
S23,NM_001530.4_1,0.9
S128,NM_000189.5_1,0.26
S22,NM_001530.4_1,0.9
S21,NM_001530.4_1,0.89
S184,NM_000189.5_1,0.55
S141,NM_000189.5_1,0.79
S186,NM_000189.5_1,0.82
S150,NM_000189.5_1,0.39
S282,NM_001098540.3,0.88
S279,NM_001098540.3,0.84
S218,NM_001098540.3,0.86
S280,NM_001098540.3,0.87
S152,NM_000189.5_1,0.96
S277,NM_001098540.3,0.56
S322,NM_002467.6,0.22
S110,NM_000189.5_1,0.92
S278,NM_001098540.3,0.86
S115,NM_000189.5_1,0.88
S20,NM_001530.4_1,0.55
S321,NM_002467.6,0.52
S197,NM_000189.5_1,0.78
S167,NM_000189.5_1,0.7
S332,NM_004456.5,0.83
S143,NM_000189.5_1,0.55
S19,NM_001530.4_1,0.82
S18,NM_001530.4_1,0.77
S354,NM_001904.4,0.92
S298,NM_001098540.3,0.89
S297,NM_001098540.3,0.81
S226,NM_001098540.3,0.42
S179,NM_000189.5_1,0.77
S225,NM_001098540.3,0.91
S320,NM_002467.6,0.51
S194,NM_000189.5_1,0.61
S224,NM_001098540.3,0.76
S223,NM_001098540.3,0.66
S319,NM_002467.6,0.36
S17,NM_001530.4_1,0.82
S196,NM_000189.5_1,0.65
S222,NM_001098540.3,0.89
S221,NM_001098540.3,0.39
S220,NM_001098540.3,0.52
S219,NM_001098540.3,0.87
S111,NM_000189.5_1,0.84
S16,NM_001530.4_1,0.89
S135,NM_000189.5_1,0.82
S15,NM_001530.4_1,0.77
S14,NM_001530.4_1,0.86
S215,NM_001098540.3,0.67
S13,NM_001530.4_1,0.9
S169,NM_000189.5_1,0.59
S308,NM_001098540.3,0.76
S12,NM_001530.4_1,0.85
S122,NM_000189.5_1,0.76
S309,NM_001098540.3,0.8
S300,NM_001098540.3,0.84
S301,NM_001098540.3,0.63
S11,NM_001530.4_1,0.75
S353,NM_001904.4,0.9
S119,NM_000189.5_1,0.54
S131,NM_000189.5_1,0.69
S195,NM_000189.5_1,0.53
S352,NM_001904.4,0.87
S302,NM_001098540.3,0.7
S10,NM_001530.4_1,0.14
S303,NM_001098540.3,0.49
S331,NM_004456.5,0.76
S304,NM_001098540.3,0.85
S305,NM_001098540.3,0.65
S306,NM_001098540.3,0.58
S307,NM_001098540.3,0.84
S285,NM_001098540.3,0.79
S286,NM_001098540.3,0.57
S9,NM_001530.4_1,0.69
S189,NM_000189.5_1,0.72
S157,NM_000189.5_1,0.54
S124,NM_000189.5_1,0.74
S231,NM_001098540.3,0.89
S166,NM_000189.5_1,0.85
S232,NM_001098540.3,0.87
S116,NM_000189.5_1,0.75
S233,NM_001098540.3,0.71
S151,NM_000189.5_1,0.67
S106,NM_000189.5_1,0.63
S216,NM_001098540.3,0.48
S317,NM_002467.6,0.3
S8,NM_001530.4_1,0.84
S234,NM_001098540.3,0.61
S227,NM_001098540.3,0.73
S228,NM_001098540.3,0.48
S7,NM_001530.4_1,0.89
S229,NM_001098540.3,0.89
S315,NM_002467.6,0.18
S230,NM_001098540.3,0.93
S254,NM_001098540.3,0.51
S253,NM_001098540.3,0.93
S248,NM_001098540.3,0.58
S247,NM_001098540.3,0.42
S246,NM_001098540.3,0.85
S245,NM_001098540.3,0.79
S252,NM_001098540.3,0.84
S6,NM_001530.4_1,0.85
S251,NM_001098540.3,0.51
S5,NM_001530.4_1,0.73
S4,NM_001530.4_1,0.91
S213,NM_001098540.3,0.97
S250,NM_001098540.3,0.85
S212,NM_001098540.3,0.7
S249,NM_001098540.3,0.92
S235,NM_001098540.3,0.84
S236,NM_001098540.3,0.94
S243,NM_001098540.3,0.89
S324,NM_004456.5,0.54
S3,NM_001530.4_1,0.56
S2,NM_001530.4_1,0.68
S174,NM_000189.5_1,0.74
S1,NM_001530.4_1,0.33
S244,NM_001098540.3,0.73
